web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816648-273","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Fiesta","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816640-267","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","Honda Civic 4-door","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816325-75","https://www.automobiledimension.com/","SSANGYONG","https://www.automobiledimension.com/ssangyong-car-dimensions.html","SsangYong Rexton","SsangYong TivoliL x W x H: 4202 x 1798 x 1600 mm
Boot capacity: 423 dm3"
"1584816332-92","https://www.automobiledimension.com/","SEAT","https://www.automobiledimension.com/seat-car-dimensions.html","New SEAT Mii electric 2020","New SEAT Mii electric 2020L x W x H: 3556 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816351-147","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","New Opel Astra 2020","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816330-86","https://www.automobiledimension.com/","ŠKODA","https://www.automobiledimension.com/skoda-car-dimensions.html","New Škoda Octavia Combi 2020","New Škoda Citigo iV 2020L x W x H: 3597 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816330-85","https://www.automobiledimension.com/","ŠKODA","https://www.automobiledimension.com/skoda-car-dimensions.html","New Škoda Octavia 2020","New Škoda Citigo iV 2020L x W x H: 3597 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816310-13","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen Polo","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816314-56","https://www.automobiledimension.com/","TOYOTA","https://www.automobiledimension.com/toyota-car-dimensions.html","Toyota Proace Verso Medium","Toyota AYGOL x W x H: 3465 x 1615 x 1460 mm
Boot capacity: 168 dm3"
"1584816316-60","https://www.automobiledimension.com/","TESLA","https://www.automobiledimension.com/tesla-car-dimensions.html","Tesla Model X","Tesla Model 3L x W x H: 4694 x 1850 x 1443 mm
Boot capacity: 425 dm3"
"1584816338-110","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","Renault Koleos","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816648-281","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Grand C-MAX","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816627-259","https://www.automobiledimension.com/","HYUNDAI","https://www.automobiledimension.com/hyundai-car-dimensions.html","Hyundai Kona","New Hyundai i10 2020L x W x H: 3670 x 1680 x 1480 mm
Boot capacity: 252 dm3"
"1584816640-268","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","Honda NSX","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816342-126","https://www.automobiledimension.com/","PORSCHE","https://www.automobiledimension.com/porsche-car-dimensions.html","New Porsche Macan 2019","Porsche 718 BoxsterL x W x H: 4379 x 1801 x 1281 mm
Boot capacity: 280 dm3"
"1584816347-132","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","New Peugeot 2008 2020","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816618-241","https://www.automobiledimension.com/","JAGUAR","https://www.automobiledimension.com/jaguar-car-dimensions.html","Jaguar XJ","New Jaguar F-TYPE Coupe 2020L x W x H: 4470 x 1923 x 1311 mm
Boot capacity: 336 dm3"
"1584816366-177","https://www.automobiledimension.com/","MINI","https://www.automobiledimension.com/mini-car-dimensions.html","New MINI Clubman 2019","MINI 3-doorL x W x H: 3821 x 1727 x 1414 mm
Boot capacity: 211 dm3"
"1584816618-237","https://www.automobiledimension.com/","JAGUAR","https://www.automobiledimension.com/jaguar-car-dimensions.html","New Jaguar F-TYPE Convertible 2020","New Jaguar F-TYPE Coupe 2020L x W x H: 4470 x 1923 x 1311 mm
Boot capacity: 336 dm3"
